,T,gradT,Z,n,Kn,Q,beta
mean,2168.7684838771547,-12646.844641758464,7.169226373808111,1.2257122564500585e+21,0.021858890663917625,28119456947088.09,0.0
std,723.0378196511496,39017.84300501958,12.406378748876218,1.8562579902974082e+21,0.052141845002577666,24719136130742.004,1.0
