,T_0,T_1,gradT_0,gradT_1,Z_0,Z_1,n_0,n_1,Kn_0,Kn_1,x_0,x_1,Q,beta
-0.9947994799479948,-0.5109417194500998,-0.5109417194500998,4.1185455749229263e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45564085710200986,-0.45576168456995014,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9945994599459946,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4556446561295501,-0.45576543581633583,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9943994399439944,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45564845365935275,-0.45576918557443213,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9941994199419942,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45565224969171314,-0.45577293384453427,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.993999399939994,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45565604422692657,-0.45577668062693755,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9937993799379938,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4556598372652883,-0.4557804259219371,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9935993599359936,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4556636288070935,-0.45578416972982844,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9933993399339934,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45566741885263745,-0.4557879120509065,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9931993199319932,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4556712074022154,-0.45579165288546675,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.992999299929993,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4556749944561227,-0.45579539223380433,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9927992799279928,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45567878001465445,-0.45579913009621453,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9925992599259926,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4556825640781059,-0.4558028664729927,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9923992399239924,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4556863466467725,-0.4558066013644339,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9921992199219922,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4556901277209494,-0.4558103347708336,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.991999199919992,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45569390730093173,-0.45581406669248686,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9917991799179918,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45569768538701494,-0.45581779712968906,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9915991599159916,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4557014619794942,-0.45582152608273535,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9913991399139914,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45570523707866467,-0.4558252535519211,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9911991199119912,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4557090106848217,-0.4558289795375415,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.990999099909991,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4557127827982606,-0.45583270403989173,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9907990799079908,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4557165534192765,-0.4558364270592672,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9905990599059906,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45572032254816475,-0.45584014859596306,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9903990399039904,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45572409018522053,-0.4558438686502746,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9901990199019902,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45572785633073915,-0.455847587222497,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.98999899989999,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45573162098501585,-0.45585130431292564,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9897989798979898,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.45573538414834586,-0.45585501992185573,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9895989598959896,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.4557391458210244,-0.4558587340495825,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9893989398939894,-0.5109417194500998,-0.5109417194500998,4.0335120951043895e-16,4.0335120951043895e-16,-0.2861815591117293,-0.2861815591117293,-0.4557429060033468,-0.4558624466964012,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
-0.9891989198919892,-0.5109417194500998,-0.5109417194500998,4.203579054741463e-16,4.203579054741463e-16,-0.2861815591117293,-0.2861815591117293,-0.45574666469560826,-0.45586615786260704,-0.11665625271571012,-0.11665625271571012,-0.00260026002600261,0.0006000600060006023,-0.2317000209440237,2.5
